"SAMPLEID","INDEX_NAME","INDEX_CLASS","ni_total","nt_total","nt_EPT","nt_TrichNoHydro","pi_EPT","pi_NonIns","nt_Chiro","pi_Chiro","nt_ffg_scrap","nt_ffg_shred","pi_ffg_col","nt_habit_cling","nt_BCG_att123","pi_BCG_att5","ni_total_300","nt_Mol_Non_BCG_att6"
"Samp9142","NM_Bugs_BCG","SandyBottomRivers",300,26,5,3,4.33333333333333,34.6666666666667,8,50.6666666666667,2,2,21.3333333333333,5,0,30,100,1
"Samp9143","NM_Bugs_BCG","SandyBottomRivers",73,24,12,4,69.8630136986301,5.47945205479452,7,20.5479452054795,4,4,57.5342465753425,9,4,1.36986301369863,24.3333333333333,1
"Samp9154","NM_Bugs_BCG","SandyBottomRivers",21,5,2,0,57.1428571428571,42.8571428571429,0,0,1,0,57.1428571428571,0,1,0,7,1
"Samp9160","NM_Bugs_BCG","SandyBottomRivers",24,8,1,0,33.3333333333333,8.33333333333333,4,45.8333333333333,1,0,75,0,1,87.5,8,1
"Samp9162","NM_Bugs_BCG","SandyBottomRivers",9,8,1,1,11.1111111111111,0,3,33.3333333333333,0,2,55.5555555555556,2,0,22.2222222222222,3,0
"Samp9163","NM_Bugs_BCG","SandyBottomRivers",13,6,2,0,53.8461538461538,7.69230769230769,2,30.7692307692308,0,0,7.69230769230769,0,1,7.69230769230769,4.33333333333333,0
"Samp9167","NM_Bugs_BCG","SandyBottomRivers",300,10,2,0,0.666666666666667,0,5,97.6666666666667,0,1,2.66666666666667,0,1,0.666666666666667,100,0
"Samp9169","NM_Bugs_BCG","SandyBottomRivers",300,29,8,2,70.6666666666667,8.33333333333333,10,14.6666666666667,4,2,63.6666666666667,5,1,0.333333333333333,100,1
"Samp9170","NM_Bugs_BCG","SandyBottomRivers",5,5,0,0,0,20,3,60,1,0,20,1,0,20,1.66666666666667,1
"Samp9176","NM_Bugs_BCG","SandyBottomRivers",11,5,1,0,9.09090909090909,0,3,54.5454545454545,1,2,18.1818181818182,0,0,0,3.66666666666667,0
"Samp9190","NM_Bugs_BCG","SandyBottomRivers",2,1,0,0,0,100,0,0,0,0,0,0,0,0,0.666666666666667,0
"Samp9195","NM_Bugs_BCG","SandyBottomRivers",300,18,4,0,55,6.66666666666667,7,37.6666666666667,1,2,20,1,1,1,100,0
"Samp9201","NM_Bugs_BCG","SandyBottomRivers",300,35,8,2,12.3333333333333,1.33333333333333,21,81.6666666666667,1,5,66,5,2,6.66666666666667,100,0
"Samp9202","NM_Bugs_BCG","SandyBottomRivers",11,4,2,0,63.6363636363636,9.09090909090909,1,27.2727272727273,1,0,72.7272727272727,1,0,27.2727272727273,3.66666666666667,0
"Samp9208","NM_Bugs_BCG","SandyBottomRivers",6,3,1,0,16.6666666666667,0,1,16.6666666666667,0,0,16.6666666666667,0,0,16.6666666666667,2,0
"Samp9209","NM_Bugs_BCG","SandyBottomRivers",300,20,3,1,5,53.6666666666667,8,23.6666666666667,1,1,17,1,3,1.66666666666667,100,0
"Samp9211","NM_Bugs_BCG","SandyBottomRivers",14,7,1,0,7.14285714285714,42.8571428571429,1,14.2857142857143,2,0,21.4285714285714,0,0,28.5714285714286,4.66666666666667,2
"Samp9212","NM_Bugs_BCG","SandyBottomRivers",207,16,2,1,2.89855072463768,2.41545893719807,9,84.5410628019324,1,1,24.6376811594203,2,0,27.0531400966184,69,1
"Samp9214","NM_Bugs_BCG","SandyBottomRivers",100,7,1,0,1,1,1,53,1,1,2,0,0,1,33.3333333333333,0
"Samp9215","NM_Bugs_BCG","SandyBottomRivers",105,18,0,0,0,0,15,92.3809523809524,1,3,67.6190476190476,1,1,61.9047619047619,35,0
"Samp9217","NM_Bugs_BCG","SandyBottomRivers",78,17,2,0,6.41025641025641,1.28205128205128,12,87.1794871794872,1,2,44.8717948717949,0,0,8.97435897435897,26,1
"Samp9219","NM_Bugs_BCG","SandyBottomRivers",50,12,1,0,8,2,7,72,0,1,54,0,0,42,16.6666666666667,0
"Samp9220","NM_Bugs_BCG","SandyBottomRivers",34,8,2,0,23.5294117647059,8.82352941176471,3,47.0588235294118,0,1,17.6470588235294,0,1,41.1764705882353,11.3333333333333,0
"Samp9221","NM_Bugs_BCG","SandyBottomRivers",300,36,8,3,37.3333333333333,2,16,36,2,4,50,3,1,9,100,0
"Samp9222","NM_Bugs_BCG","SandyBottomRivers",72,22,3,2,20.8333333333333,27.7777777777778,7,23.6111111111111,2,3,27.7777777777778,4,1,5.55555555555556,24,1
"Samp9237","NM_Bugs_BCG","SandyBottomRivers",158,24,3,0,8.22784810126582,5.06329113924051,13,74.6835443037975,0,2,38.6075949367089,0,1,10.7594936708861,52.6666666666667,0
"Samp9243","NM_Bugs_BCG","SandyBottomRivers",53,9,2,0,15.0943396226415,0,6,83.0188679245283,0,1,20.7547169811321,0,1,49.0566037735849,17.6666666666667,0
"Samp9244","NM_Bugs_BCG","SandyBottomRivers",99,15,6,2,76.7676767676768,0,4,17.1717171717172,2,2,59.5959595959596,7,2,5.05050505050505,33,0
"Samp9246","NM_Bugs_BCG","SandyBottomRivers",11,8,1,0,18.1818181818182,9.09090909090909,5,63.6363636363636,0,2,54.5454545454545,0,1,0,3.66666666666667,0
"Samp9247","NM_Bugs_BCG","SandyBottomRivers",3,2,1,0,33.3333333333333,0,1,66.6666666666667,0,0,33.3333333333333,1,0,0,1,0
"Samp9248","NM_Bugs_BCG","SandyBottomRivers",101,8,2,1,1.98019801980198,0,5,58.4158415841584,1,1,52.4752475247525,1,0,87.1287128712871,33.6666666666667,0
