"SampleID","INDEX_NAME","INDEX_CLASS","L1","L2","L3","L4","L5","L6","Membership_Total","Membership_Total_QC","Primary_BCG_Level","Primary_Membership","Secondary_BCG_Level","Secondary_Membership","Membership_Diff","Membership_Close","Continuous_BCG_Level","BCG_Status","BCG_Status2"
"Samp9142","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"Samp9143","NM_Bugs_BCG","sandybottomrivers",0,0,1,0,0,0,1,"PASS",3,1,NA,0,1,NA,3,"3","3"
"Samp9154","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9160","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.3,0.7,1,"PASS",6,0.7,5,0.3,0.4,NA,5.7,"6","6+"
"Samp9162","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.3,0.7,1,"PASS",6,0.7,5,0.3,0.4,NA,5.7,"6","6+"
"Samp9163","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.1,0.9,1,"PASS",6,0.9,5,0.1,0.8,NA,5.9,"6","6"
"Samp9167","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.5,0.5,1,"PASS",5,0.5,6,0.5,0,"tie",5.5,"5.5","5/6 tie"
"Samp9169","NM_Bugs_BCG","sandybottomrivers",0,0,0.5,0.5,0,0,1,"PASS",3,0.5,4,0.5,0,"tie",3.5,"3.5","3/4 tie"
"Samp9170","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9176","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9190","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9195","NM_Bugs_BCG","sandybottomrivers",0,0,0,0.8,0.2,0,1,"PASS",4,0.8,5,0.2,0.6,NA,4.2,"4","4-"
"Samp9201","NM_Bugs_BCG","sandybottomrivers",0,0,0.5,0.5,0,0,1,"PASS",3,0.5,4,0.5,0,"tie",3.5,"3.5","3/4 tie"
"Samp9202","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9208","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9209","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"Samp9211","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.2,0.8,1,"PASS",6,0.8,5,0.2,0.6,NA,5.8,"6","6+"
"Samp9212","NM_Bugs_BCG","sandybottomrivers",0,0,0,0.5,0.5,0,1,"PASS",4,0.5,5,0.5,0,"tie",4.5,"4.5","4/5 tie"
"Samp9214","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.2,0.8,1,"PASS",6,0.8,5,0.2,0.6,NA,5.8,"6","6+"
"Samp9215","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9217","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"Samp9219","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.7,0.3,1,"PASS",5,0.7,6,0.3,0.4,NA,5.3,"5","5-"
"Samp9220","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.3,0.7,1,"PASS",6,0.7,5,0.3,0.4,NA,5.7,"6","6+"
"Samp9221","NM_Bugs_BCG","sandybottomrivers",0,0,0.2,0.8,0,0,1,"PASS",4,0.8,3,0.2,0.6,NA,3.8,"4","4+"
"Samp9222","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"Samp9237","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,1,0,1,"PASS",5,1,NA,0,1,NA,5,"5","5"
"Samp9243","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.4,0.6,1,"PASS",6,0.6,5,0.4,0.2,"yes",5.6,"6","6+"
"Samp9244","NM_Bugs_BCG","sandybottomrivers",0,0,0,0.5,0.5,0,1,"PASS",4,0.5,5,0.5,0,"tie",4.5,"4.5","4/5 tie"
"Samp9246","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.3,0.7,1,"PASS",6,0.7,5,0.3,0.4,NA,5.7,"6","6+"
"Samp9247","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0,1,1,"PASS",6,1,NA,0,1,NA,6,"6","6"
"Samp9248","NM_Bugs_BCG","sandybottomrivers",0,0,0,0,0.3,0.7,1,"PASS",6,0.7,5,0.3,0.4,NA,5.7,"6","6+"
